TIME VBM_1 VBM_2 VBM_3 VBM_4 VBM_5 VBM_6 VBM_7 VBM_8 PITCH HEAVE
0.002387972 59.33881 148.728 208.8237 197.0922 208.3684 160.2123 85.74146 29.67812 -7.298666735208943e-09 -1.563252e-09
0.005253024 -198.7946 321.1195 171.4556 -720.0658 -891.9143 -554.1023 97.76495 550.1741 -1.370840761177989e-07 -2.749182e-08
0.008689847 -96.05469 -541.2905 -703.076 -515.5084 -402.1964 -423.4857 -526.0214 -505.8999 -1.4282270124506374e-07 -6.97534e-09
0.01267023 -150.4273 -131.2778 -293.8444 -632.3907 -647.6672 -484.8282 -212.6114 18.75884 -3.7700211400506276e-07 1.290452e-08
0.01665062 -119.1073 -320.401 -475.0805 -550.1245 -502.3299 -432.7452 -349.0761 -227.0687 -7.571662410159637e-07 1.215363e-07
0.020631 -134.2521 -228.6507 -386.8994 -586.7455 -565.2765 -448.6786 -274.151 -101.6154 -8.452352060057471e-07 5.268213e-07
0.02461139 -128.1723 -276.5549 -431.6456 -563.9679 -523.0922 -426.6879 -297.84 -154.5743 -1.4284057341660415e-06 1.168781e-06
0.02859177 -130.2099 -253.472 -409.1028 -569.5277 -534.0606 -426.4422 -276.8051 -123.304 -1.8419960579452876e-06 2.344223e-06
0.03257216 -131.5856 -269.6383 -424.0258 -564.6869 -520.4107 -415.4014 -276.2485 -131.3415 -3.0913742950221607e-06 3.926413e-06
0.03655255 -131.1599 -263.6849 -417.5998 -562.4946 -518.219 -410.8187 -268.074 -122.3819 -4.939679718213407e-06 5.987546e-06
0.04053293 -133.6815 -271.2057 -424.1675 -561.0252 -510.7813 -402.0585 -261.8614 -120.0637 -8.308728915910858e-06 8.252432e-06
0.04451332 -133.4501 -269.9154 -421.3173 -556.3642 -504.3664 -394.9962 -255.2687 -115.3692 -1.3456921374530775e-05 1.052891e-05
0.0484937 -135.6211 -273.9684 -423.6105 -553.3515 -497.0002 -386.2784 -247.8852 -110.9809 -2.119777425704949e-05 1.242736e-05
0.05247409 -135.968 -274.0218 -421.3828 -547.5075 -488.8209 -378.0508 -241.2966 -106.9569 -3.2048817829256115e-05 1.351123e-05
0.05645447 -137.4776 -275.9739 -420.9957 -542.5057 -480.5924 -369.4103 -234.184 -102.3341 -4.669347415701258e-05 1.315204e-05
0.06043486 -138.452 -277.0677 -419.8899 -537.483 -473.0029 -361.5348 -227.3594 -97.96829 -6.571333930696095e-05 1.064396e-05
0.06441524 -139.8273 -278.78 -419.6061 -533.1646 -465.6154 -353.2013 -219.9589 -93.28407 -8.981169370119233e-05 5.312497e-06
0.06839563 -140.9819 -280.0091 -418.5362 -527.8794 -457.2574 -344.077 -212.2315 -88.55268 -0.00011973984922281273 -3.436006e-06
0.07237601 -141.9137 -280.6021 -416.6641 -521.7999 -448.1854 -334.5179 -204.4135 -83.82129 -0.00015625540094023533 -1.616309e-05
0.0763564 -142.9289 -281.0059 -414.328 -515.2397 -438.8769 -325.0405 -196.8782 -79.31077 -0.00020012433895557542 -3.34058e-05
0.08033679 -143.5497 -280.8311 -411.4218 -508.3714 -429.5479 -315.7348 -189.5069 -74.85584 -0.00025209605528976175 -5.566753e-05
0.08431717 -144.1347 -280.4083 -408.0937 -501.1427 -420.1001 -306.5105 -182.2806 -70.55689 -0.00031289651964516144 -8.340552e-05
0.08829756 -144.4832 -279.4818 -404.1888 -493.4391 -410.4066 -297.1592 -174.9646 -66.16819 -0.0003832331139676077 -0.0001170294
0.09227794 -144.6096 -278.2603 -400.0806 -485.6549 -400.8129 -287.9936 -167.8395 -61.92011 -0.00046379454517993756 -0.0001569021
0.09625833 -144.6234 -276.5592 -395.3217 -477.362 -391.0343 -278.9084 -160.9611 -57.97861 -0.0005552646332830824 -0.0002033432
0.1002387 -144.4214 -274.782 -390.7492 -469.3949 -381.6073 -270.0748 -154.1769 -53.97824 -0.0006583165517695364 -0.0002566272
0.1042191 -144.0992 -272.5514 -385.4863 -460.7425 -371.7849 -261.1491 -147.5764 -50.32924 -0.0007736084643002267 -0.0003169903
0.1081995 -143.5265 -269.8462 -379.7359 -451.7148 -361.7706 -252.1257 -140.8947 -46.6108 -0.0009018203511517301 -0.0003846563
0.1121799 -142.9295 -267.2383 -374.1082 -442.8274 -351.9356 -243.2746 -134.3616 -42.98812 -0.0010436173573019818 -0.0004598123
0.1161603 -142.0261 -264.1778 -368.0521 -433.6864 -342.1216 -234.5908 -128.0242 -39.51919 -0.0011996374005925857 -0.0005426001
0.1201406 -141.1405 -261.0358 -361.8408 -424.4528 -332.3755 -226.1206 -122.0076 -36.37577 -0.0013705311397686853 -0.0006331348
0.124121 -140.064 -257.6974 -355.5315 -415.3658 -322.9205 -217.9326 -116.1773 -33.30946 -0.0015569471391803215 -0.0007314931
0.1281014 -138.7795 -253.9816 -348.8081 -406.0225 -313.4679 -209.9656 -110.7008 -30.5998 -0.0017595222694715476 -0.0008377129
0.1320818 -137.6397 -250.6675 -342.7076 -397.5557 -304.9005 -202.7705 -105.8257 -28.2962 -0.0019788909578254627 -0.000951803
0.1360622 -136.0855 -246.6113 -335.7407 -388.293 -295.6327 -194.9664 -100.443 -25.61487 -0.0022156570881632573 -0.001073748
0.1400426 -134.6046 -242.7717 -329.1306 -379.6101 -287.0703 -187.9015 -95.73936 -23.43484 -0.002470403600455098 -0.001203509
0.144023 -133.1272 -238.89 -322.5876 -371.2176 -278.8792 -181.2146 -91.35796 -21.4992 -0.002743720415988158 -0.001341018
0.1480033 -131.3433 -234.7307 -315.8817 -362.8545 -270.8708 -174.7747 -87.22388 -19.74838 -0.003036174766769336 -0.001486165
0.1519837 -129.7849 -230.8526 -309.5076 -354.9432 -263.3359 -168.7806 -83.45707 -18.22972 -0.0033483146861837576 -0.001638815
0.1559641 -127.8646 -226.4293 -302.5393 -346.4876 -255.3301 -162.3537 -79.29769 -16.42249 -0.0036806585370192657 -0.001798804
0.1599445 -125.9109 -222.0307 -295.6753 -338.3629 -247.776 -156.3973 -75.54268 -14.86424 -0.004033681048832403 -0.001965937
0.1639249 -124.0761 -217.8534 -289.1855 -330.8838 -241.0546 -151.3252 -72.61102 -13.96975 -0.0044078272805824275 -0.00213997
0.1679053 -122.003 -213.2026 -282.074 -322.7727 -233.7723 -145.7494 -69.23934 -12.72304 -0.004803530073923834 -0.002320623
0.1718857 -119.9577 -208.5644 -274.9358 -314.4802 -226.0421 -139.5151 -65.11175 -10.80605 -0.005221161183987297 -0.002507608
0.175866 -117.8416 -204.0313 -268.2151 -306.9336 -219.2976 -134.3962 -62.09064 -9.793039 -0.0056610469873429395 -0.002700614
0.1798464 -115.9849 -200.0078 -262.2748 -300.3061 -213.3567 -129.8977 -59.48093 -9.01008 -0.006123517351219389 -0.002899306
0.1838268 -113.7897 -195.2823 -255.3087 -292.3942 -205.8876 -123.7833 -55.37871 -7.109654 -0.0066088410563214526 -0.003103352
0.1878072 -111.7352 -190.9641 -249.0159 -285.4162 -199.4396 -118.6687 -52.12532 -5.756189 -0.007117229287488621 -0.003312418
0.1917876 -109.6616 -186.5137 -242.461 -278.0609 -192.4853 -112.9434 -48.26439 -3.983058 -0.007648860068304598 -0.003526134
0.195768 -107.7318 -182.4956 -236.6918 -271.941 -187.0738 -108.8857 -45.95744 -3.348289 -0.008203881751755803 -0.003744105
0.1997483 -105.7209 -178.1844 -230.3514 -264.9041 -180.4036 -103.3477 -42.17461 -1.565977 -0.008782418256219128 -0.003965912
0.2037287 -103.753 -173.9566 -224.156 -258.0059 -173.7503 -97.73143 -38.25383 0.3641544 -0.00938449576163335 -0.004191133
0.2077091 -102.0144 -170.378 -219.0745 -252.5628 -168.7771 -93.83913 -35.89087 1.152184 -0.010010121249315482 -0.004419329
0.2116895 -100.1718 -166.311 -213.0023 -245.5648 -161.8037 -87.75438 -31.48068 3.417956 -0.010659279011302253 -0.004650044
0.2156699 -98.44332 -162.7187 -207.8863 -240.0457 -156.5636 -83.45955 -28.67614 4.561082 -0.011331880035801812 -0.004882833
0.2196503 -96.87286 -159.1026 -202.4718 -233.9524 -150.4789 -78.14002 -24.83867 6.494927 -0.012027824839046793 -0.005117222
0.2236307 -95.28329 -155.6836 -197.5406 -228.4825 -145.1017 -73.5823 -21.73641 7.859411 -0.012746972049367792 -0.005352738
0.227611 -93.7973 -152.3371 -192.6203 -222.8903 -139.4079 -68.54868 -18.09269 9.683577 -0.01348915760581511 -0.005588906
0.2315914 -92.27032 -148.8797 -187.5498 -217.1151 -133.5505 -63.37946 -14.35527 11.55442 -0.014254173814207769 -0.005825246
0.2355718 -90.82743 -145.5631 -182.691 -211.6622 -128.0476 -58.55974 -10.92279 13.2093 -0.01504177109246273 -0.00606127
0.2395522 -89.48664 -142.4929 -178.2466 -206.6125 -122.8979 -54.02863 -7.709432 14.71543 -0.015851699858496958 -0.006296469
0.2435326 -88.07438 -139.2307 -173.5007 -201.0687 -117.0077 -48.65638 -3.720037 16.75635 -0.016683670387654625 -0.006530356
0.247513 -86.77066 -136.1942 -169.1588 -196.0512 -111.7155 -43.88041 -0.2485708 18.44965 -0.017537365030011864 -0.006762455
