TIME VBM_1 VBM_2 VBM_3 VBM_4 VBM_5 VBM_6 VBM_7 VBM_8 PITCH HEAVE
0.002501829 59.33881 148.728 208.8237 197.0922 208.3684 160.2123 85.74146 29.67812 -2.748909279854337e-09 -9.273861e-10
0.005503304 182.4801 493.4556 409.1181 -256.3144 -797.4626 -1031.865 -849.3301 -423.0964 -5.084275010753382e-08 -1.698928e-08
0.009103518 -81.75505 -202.3366 -172.3339 67.58967 356.5572 471.4961 381.0614 189.4704 -4.121708474985989e-08 -1.364102e-08
0.01342191 47.22164 135.4207 106.7132 -97.08465 -212.1119 -266.3184 -222.6283 -111.4941 -8.840876314185424e-08 -4.244195e-08
0.018564 -16.65255 -31.78002 -31.43989 -15.62201 69.61001 99.48692 77.08439 38.23073 1.1517391081996289e-07 -3.480104e-08
0.02456186 14.65746 49.83922 36.07057 -55.05972 -67.3826 -78.44723 -68.66273 -34.50926 8.068102117267651e-07 -1.189647e-08
0.03127618 -1.260464 8.301637 1.943069 -34.51803 3.07334 12.9929 6.394296 3.121871 2.399243036192785e-06 -2.943243e-08
0.03779054 6.765779 28.60275 19.53505 -41.50532 -27.07117 -27.19747 -26.80739 -13.50186 5.705065936407489e-06 6.039092e-08
0.04470053 1.770396 16.97318 9.950815 -37.18311 -9.62088 -4.089998 -7.612557 -3.750236 9.769459544087236e-06 -3.396053e-07
0.05237759 4.041655 22.16498 15.30843 -36.10949 -13.3912 -10.28558 -12.98863 -6.448103 1.4948725844709661e-05 -1.425942e-06
0.06071886 1.823397 18.13073 12.33186 -34.70888 -7.749391 -2.858212 -6.762336 -3.218642 1.8049287552914317e-05 -4.434111e-06
0.06906013 2.202566 19.3703 14.63795 -31.79616 -5.182207 -0.8890577 -5.458472 -2.57694 1.615215654389853e-05 -9.851859e-06
0.0774014 1.000492 17.82939 14.20874 -29.97846 -1.498353 3.352147 -2.039204 -0.806062 5.1013774920936734e-06 -1.874238e-05
0.08574267 1.033192 18.34948 16.02636 -26.53218 2.593628 7.19826 0.76901 0.5705894 -1.8281224357211845e-05 -3.182367e-05
0.09408394 0.4341267 17.98313 16.9071 -23.8176 6.471348 11.13703 3.750057 2.049295 -5.761192234493123e-05 -4.9927e-05
0.1024252 0.4399185 18.45256 18.68352 -20.3596 10.73535 15.20264 6.72076 3.489652 -0.00011592693312573585 -7.367092e-05
0.1107665 0.3641823 18.85822 20.28902 -17.16375 14.77623 19.08712 9.556747 4.851756 -0.00019613329455503997 -0.0001035331
0.1191077 0.444012 19.59216 22.33436 -13.59254 19.0705 23.12406 12.4811 6.275797 -0.0003010218230133676 -0.0001399029
0.127449 0.5273483 20.28865 24.21028 -10.30407 23.08077 26.91937 15.23054 7.602842 -0.0004331177655822592 -0.0001829867
0.1350919 0.5176288 20.91432 25.86225 -7.613009 26.3275 29.95263 17.40714 8.642101 -0.0005795786405596902 -0.0002282786
0.1423755 1.015536 21.95655 27.88327 -4.314784 30.2097 33.58841 20.0145 9.886149 -0.0007430142387761675 -0.000276483
0.1497507 1.209267 22.79086 29.67692 -1.514497 33.55412 36.71484 22.25695 10.96354 -0.0009340286571680334 -0.0003303397
0.1567719 1.329354 23.53586 31.28767 0.9073882 36.39021 39.31898 24.08928 11.81846 -0.0011407136887818556 -0.0003861017
0.1604915 -0.1232389 22.81332 30.84158 -0.5410186 34.53786 37.33932 22.55047 11.01459 -0.0012591714540427382 -0.0004170524
0.1629147 2.74798 25.38403 34.09144 5.402739 41.51117 44.10356 27.52777 13.47409 -0.0013392941094811167 -0.0004376304
0.1650006 1.196335 24.32301 33.10225 3.313074 39.14305 41.73908 25.70774 12.52869 -0.0014105578227022223 -0.0004557044
0.1670864 2.206306 25.18515 34.24991 5.579562 41.81461 44.36619 27.67516 13.51405 -0.00148408540249609 -0.0004741085
0.1691723 1.861544 25.17517 34.49759 5.720756 41.99195 44.47177 27.70508 13.50214 -0.0015598929058918377 -0.0004928398
0.1712581 2.049582 25.49988 35.08331 6.678194 43.12456 45.54526 28.48555 13.88454 -0.0016380344380962774 -0.0005119012
0.173344 2.175761 25.80724 35.64584 7.517962 44.08783 46.43266 29.10915 14.17386 -0.0017185000507326728 -0.0005312727
0.1757074 2.478937 26.30705 36.50859 8.898725 45.74815 48.00997 30.25241 14.73595 -0.001812582024061427 -0.000553608
0.1781375 2.161331 26.26842 36.66819 8.939642 45.73542 47.91953 30.12993 14.63187 -0.0019125754275666862 -0.0005769828
0.1805265 2.520415 26.84252 37.62233 10.44054 47.50476 49.59678 31.35642 15.24045 -0.0020140191996803527 -0.0006003315
0.1829545 2.630593 27.21238 38.31973 11.43964 48.66366 50.66194 32.10567 15.59377 -0.002120337676394839 -0.0006244278
0.1854594 2.714924 27.53735 38.95109 12.35102 49.71858 51.62531 32.77191 15.88826 -0.0022334803904846237 -0.0006496601
0.1881254 2.950072 28.0307 39.8152 13.64562 51.22702 53.02901 33.771 16.3639 -0.002357796702445676 -0.0006769131
0.1910739 3.096219 28.48708 40.66683 14.8701 52.64882 54.33605 34.68757 16.78651 -0.0025000340551662053 -0.0007075104
0.1943652 3.271959 29.03335 41.67103 16.30562 54.30454 55.86264 35.76826 17.28762 -0.0026647634659571866 -0.0007421952
0.1980761 3.512501 29.69261 42.84973 17.98436 56.23865 57.63816 37.01154 17.85318 -0.0028580639166033146 -0.0007819146
0.2023274 3.762113 30.41461 44.13919 19.79225 58.30395 59.51365 38.30241 18.42241 -0.0030894387248816984 -0.000828127
0.2073405 4.121699 31.38272 45.8363 22.18428 61.04785 62.03627 40.08331 19.25232 -0.0033760095707544035 -0.0008834461
0.2133099 4.459042 32.4159 47.65799 24.6704 63.85499 64.55387 41.78729 19.98319 -0.003736727239239584 -0.000950221
0.2202 4.863258 33.70315 49.92589 27.75357 67.33424 67.70171 43.96808 20.96272 -0.004179225800485462 -0.001028055
0.2278999 5.373427 35.17486 52.44995 31.1491 71.13363 71.09455 46.26081 21.9521 -0.00470632396123401 -0.001115311
0.2362408 5.929569 36.83355 55.28786 34.93242 75.33783 74.83112 48.76615 22.99404 -0.005315333914437155 -0.001209243
0.2445817 6.407853 38.41078 57.9773 38.41618 79.13954 78.14813 50.93424 23.85638 -0.005962597994185512 -0.001301551
0.2528799 7.204682 40.37748 61.23053 42.80766 84.02503 82.50322 53.86513 25.09349 -0.006643147248098653 -0.00139078
0.260323 7.447727 41.59836 63.3114 45.30536 86.61196 84.63491 55.13784 25.49504 -0.007283440482814545 -0.001467838
0.2682169 8.813717 44.26527 67.59724 51.34664 93.4862 90.87974 59.43349 27.37731 -0.007992674222984213 -0.001545652
0.2727689 6.808089 42.24476 64.56278 45.87351 86.42679 83.82012 54.01122 24.54841 -0.008414560445764038 -0.001588476
0.275323 9.468771 45.83524 70.04006 54.44126 96.68149 93.56241 61.10277 27.98742 -0.00865463397503436 -0.001611841
0.2774084 9.093889 45.83425 70.18587 54.25228 96.37444 93.1335 60.64968 27.65681 -0.008852674739928906 -0.001630541
0.2794937 9.434166 46.36858 71.03793 55.58281 97.86492 94.50109 61.593 28.05754 -0.009052757540048284 -0.001648841
0.2815791 9.620153 46.93773 71.97772 56.77163 99.1642 95.61914 62.30219 28.31076 -0.0092548422328197 -0.001666726
0.2836645 9.742449 47.34707 72.66303 57.63439 100.0766 96.38002 62.75944 28.4606 -0.009458928818243152 -0.001684189
0.2857498 9.997547 47.93892 73.61254 58.90407 101.4525 97.58829 63.55838 28.78039 -0.009664985880392106 -0.001701209
0.2879084 10.22784 48.53827 74.59543 60.18268 102.8568 98.80113 64.32961 29.06505 -0.009880336820807932 -0.001718347
0.289998 10.22977 48.77542 74.98276 60.5624 103.1413 98.95773 64.35072 29.00771 -0.010090781640696399 -0.001734458
0.2920839 10.67818 49.67126 76.42507 62.56677 105.4202 101.0072 65.73661 29.58311 -0.010302729189070834 -0.001750058
0.2941698 10.70903 49.96302 76.90035 63.06431 105.8561 101.3014 65.8481 29.56437 -0.01051654947573266 -0.001765159
0.2962557 10.9924 50.61576 77.95559 64.47488 107.4008 102.6504 66.7249 29.89939 -0.010732214575413844 -0.001779746
0.2983416 11.17057 51.12668 78.78208 65.50908 108.4823 103.5514 67.26954 30.07564 -0.0109496948175171 -0.001793806
0.3004275 11.37391 51.66374 79.64528 66.60914 109.6459 104.5331 67.87699 30.29086 -0.011168965767432905 -0.001807323
0.3025474 11.61998 52.27466 80.63218 67.89367 111.0274 105.7159 68.62319 30.56157 -0.011393628039408119 -0.001820489
0.3047319 11.8327 52.85688 81.57411 69.09169 112.2937 106.7856 69.28645 30.78889 -0.011627009976326297 -0.001833434
0.3070157 12.07844 53.48382 82.58399 70.39 113.6723 107.947 69.99797 31.02937 -0.011873019370382654 -0.001846274
0.3094415 12.3341 54.16381 83.67836 71.78246 115.1479 109.192 70.76819 31.29365 -0.012136546634141276 -0.001859114
0.3120627 12.61263 54.89225 84.85764 73.29146 116.7476 110.5361 71.59085 31.57302 -0.01242384179165356 -0.001872037
0.3149507 12.92048 55.69863 86.15781 74.951 118.4993 112.0056 72.48829 31.87379 -0.012743355727157657 -0.001885095
0.3181622 13.2465 56.57583 87.57452 76.75231 120.3835 113.5761 73.43789 32.18096 -0.013102233818611234 -0.001898111
0.3217386 13.62604 57.57425 89.16926 78.76464 122.4773 115.3118 74.48285 32.52493 -0.013506183292668316 -0.001910673
0.3257216 14.04489 58.69537 90.96865 81.02921 124.8266 117.2463 75.62688 32.86897 -0.01396117492069997 -0.001922184
0.3301441 14.51674 59.94864 92.96426 83.52868 127.4077 119.3657 76.88305 33.26894 -0.01447237662262135 -0.001931798
0.3347761 14.94304 61.141 94.85845 85.85861 129.7373 121.2222 77.92886 33.54716 -0.015014179182317951 -0.001938194
0.3394028 15.47781 62.52219 97.05546 88.6187 132.5776 123.5439 79.29453 33.96964 -0.015561385281378726 -0.001940762
0.3438422 15.95329 63.77999 99.03955 91.07405 135.0505 125.5252 80.42114 34.28474 -0.016091680885316928 -0.001939567
0.3480482 16.4639 65.08237 101.1017 93.65454 137.6937 127.6734 81.67548 34.67402 -0.016598496574828047 -0.001935058
0.3520221 16.93718 66.30876 103.0443 96.08071 140.159 129.6679 82.83255 35.01913 -0.017081017281151408 -0.001927708
0.355767 17.38402 67.45179 104.8451 98.31647 142.419 131.4767 83.86058 35.31882 -0.017538761293413457 -0.001917977
0.3592874 17.8241 68.57951 106.6287 100.5449 144.6808 133.3054 84.92405 35.64464 -0.01797156804132301 -0.001906302
0.3613732 17.54362 67.95893 105.3655 98.57274 141.8297 130.4711 82.80154 34.59617 -0.018228986652699654 -0.001898304
