TIME VBM_1 VBM_2 VBM_3 VBM_4 VBM_5 VBM_6 VBM_7 VBM_8 PITCH HEAVE
0.002485907 59.33881 148.728 208.8237 197.0922 208.3684 160.2123 85.74146 29.67812 -3.8683634620835e-09 -1.235273e-09
0.00546828 168.0421 549.2855 416.406 -462.8766 -1143.435 -1387.73 -1089.021 -516.2841 -7.07128349492987e-08 -2.219747e-08
0.009045582 -117.6873 -323.7489 -318.0095 -1.574196 363.4756 517.112 416.6516 197.7837 -5.3381593303947364e-08 -1.382939e-08
0.01319045 22.31607 104.2555 39.22753 -235.9485 -385.811 -427.164 -329.2104 -155.8177 -1.133854719354443e-07 -3.339893e-08
0.01733533 -47.04426 -107.7633 -136.9762 -117.7487 -11.56186 44.04934 43.29843 21.2271 -1.332602866194821e-07 -4.378733e-08
0.0200848 -11.60919 -1.946404 -48.34786 -172.7764 -192.3359 -184.854 -138.0881 -65.0473 2.3285083322679588e-07 7.0434e-08
0.02318001 -30.79896 -57.02921 -95.30811 -148.2267 -104.0659 -71.56223 -47.59723 -21.61632 6.83933447332758e-07 2.058759e-07
0.02616138 -20.90827 -29.85626 -71.81966 -158.682 -145.239 -124.9296 -90.21406 -41.89378 1.3999156775881868e-06 4.267416e-07
0.02953733 -26.66989 -45.00169 -85.07511 -153.9847 -123.9362 -96.78498 -67.35688 -30.70902 2.3764211108937074e-06 7.324344e-07
0.03330602 -23.80699 -37.93064 -78.5871 -154.8034 -131.7765 -107.598 -76.09228 -34.80209 3.818942718984029e-06 1.199731e-06
0.0362709 -25.5726 -42.16263 -82.24349 -153.4767 -125.662 -99.49907 -69.43982 -31.48383 5.092284326690784e-06 1.627536e-06
0.03929554 -24.81925 -40.58485 -80.56272 -152.8422 -126.2632 -100.6925 -70.4098 -31.86511 6.544146936937779e-06 2.132093e-06
0.04251992 -25.74192 -42.50099 -82.02756 -152.2485 -123.7589 -97.38306 -67.59712 -30.35365 8.143144293786399e-06 2.710262e-06
0.04616302 -25.86106 -42.77769 -81.79759 -151.1113 -122.1285 -95.67365 -66.20888 -29.55215 9.878249407022547e-06 3.366388e-06
0.04894921 -26.48569 -43.85169 -82.38415 -150.3664 -120.2404 -93.399 -64.32683 -28.55835 1.1015502456963549e-05 3.819694e-06
0.05229129 -26.80727 -44.52204 -82.64985 -149.5115 -118.5942 -91.4855 -62.75061 -27.67804 1.1981386863638981e-05 4.234352e-06
0.0561754 -27.5193 -45.60404 -83.26758 -148.768 -116.6508 -89.09247 -60.70661 -26.53674 1.2241252426626922e-05 4.42355e-06
0.06013612 -28.10279 -46.37162 -83.32754 -147.3649 -114.1856 -86.35501 -58.48931 -25.31757 1.1175753352893911e-05 4.160388e-06
0.06428031 -28.68063 -47.06482 -83.15092 -145.5632 -111.2803 -83.22976 -56.00983 -23.9942 8.137815803580062e-06 3.206651e-06
