TIME VBM_1 VBM_2 VBM_3 VBM_4 VBM_5 VBM_6 VBM_7 VBM_8 PITCH HEAVE
0.002514817 59.33881 148.728 208.8237 197.0922 208.3684 160.2123 85.74146 29.67812 -1.4591291140547482e-09 -5.069767e-10
0.005532054 178.2114 425.1541 419.5945 28.62214 -314.7298 -507.8716 -457.3415 -237.2459 -2.6951496482344077e-08 -9.416381e-09
0.009151436 -36.47059 -76.59779 -37.294 100.863 289.5451 350.3713 272.3301 132.3855 -2.0977234452767488e-08 -9.170617e-09
0.01334325 69.04839 168.921 185.3588 64.23891 -6.800661 -69.83303 -85.07478 -48.89442 -3.1458111143918635e-08 -2.766134e-08
0.01753507 16.51167 46.91587 74.55588 81.67192 139.3426 137.8326 91.74864 40.85666 1.373277066280848e-09 -6.709497e-08
0.02172688 42.51403 107.1426 129.5627 74.12885 68.72886 36.94891 5.712656 -2.833764 2.3392543244724878e-07 -1.119582e-07
0.0259187 29.32355 76.78616 101.9154 77.91643 104.306 87.78914 49.11162 19.23445 5.953019627250567e-07 -2.411294e-07
0.03011052 35.86407 91.71078 115.8996 77.26104 88.48391 64.54534 29.13976 9.074038 1.3244375178222907e-06 -4.359076e-07
0.03430233 32.36381 83.92442 108.8384 78.00558 97.27867 77.2159 40.00048 14.61712 2.3252271132742093e-06 -8.017109e-07
0.03849415 34.03367 87.64191 112.6089 78.75306 94.58629 72.72986 36.0333 12.59012 3.732616988851137e-06 -1.358087e-06
0.04268596 32.98185 85.51446 110.7675 78.98066 97.00783 76.18994 39.00397 14.1151 5.427101309076367e-06 -2.205279e-06
0.04687778 33.34582 86.36063 111.8471 79.73645 97.16942 75.96372 38.7177 13.96723 7.387409746355846e-06 -3.39096e-06
0.0510696 32.92669 85.66577 111.377 79.99384 98.16477 77.27722 39.82825 14.54068 9.446465422054662e-06 -4.995462e-06
0.05526141 32.92378 85.76108 111.6973 80.53915 98.7772 77.85428 40.26561 14.76517 1.1457714784212099e-05 -7.072493e-06
0.05945323 32.68673 85.45498 111.6024 80.8607 99.46322 78.67125 40.9382 15.1139 1.3208327147852216e-05 -9.679458e-06
